c_charge_degree;race;age_cat;sex;priors_count_Low;priors_count_Medium;priors_count_High;priors_count_VeryHigh;positive_risk;negative_risk
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;Other;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;0;0;1;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;Greater than 45;Female;1;0;0;0;1;0
F;African-American;Less than 25;Male;0;0;1;0;0;1
M;African-American;25 - 45;Female;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;African-American;Greater than 45;Male;0;0;1;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Female;0;1;0;0;0;1
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;25 - 45;Male;0;1;0;0;1;0
M;Hispanic;Greater than 45;Female;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;0;1;0;1;0
M;Caucasian;25 - 45;Female;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;0;0;1;0;0;1
M;Caucasian;Greater than 45;Female;1;0;0;0;1;0
F;Caucasian;Less than 25;Male;1;0;0;0;1;0
F;Hispanic;25 - 45;Male;0;1;0;0;1;0
F;Hispanic;25 - 45;Male;0;1;0;0;0;1
M;African-American;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;0;1;0;0;0;1
M;African-American;25 - 45;Male;0;0;0;1;1;0
F;African-American;Less than 25;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;African-American;Greater than 45;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Male;0;0;1;0;0;1
M;African-American;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;1;0
M;Hispanic;Greater than 45;Female;1;0;0;0;1;0
M;Hispanic;Greater than 45;Male;1;0;0;0;1;0
F;Hispanic;Greater than 45;Male;0;1;0;0;0;1
M;Caucasian;25 - 45;Female;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;0;1;0;0;1
M;Hispanic;Greater than 45;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;0;0;1;0;1
F;Caucasian;25 - 45;Female;1;0;0;0;0;1
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;1;0
M;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;African-American;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;Less than 25;Male;1;0;0;0;0;1
M;Hispanic;25 - 45;Male;0;1;0;0;1;0
M;African-American;Greater than 45;Male;0;0;0;1;0;1
M;Caucasian;Less than 25;Male;0;0;1;0;0;1
M;African-American;25 - 45;Male;1;0;0;0;0;1
F;African-American;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;African-American;Less than 25;Female;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;1;0;0;1;0
M;African-American;Less than 25;Male;0;1;0;0;0;1
F;Hispanic;25 - 45;Male;1;0;0;0;0;1
F;African-American;25 - 45;Female;0;0;1;0;0;1
F;African-American;Less than 25;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;African-American;Less than 25;Female;1;0;0;0;0;1
F;Hispanic;Greater than 45;Male;0;0;1;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;African-American;Greater than 45;Male;0;0;0;1;0;1
F;Caucasian;Less than 25;Male;0;0;1;0;0;1
M;African-American;Less than 25;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;Greater than 45;Male;1;0;0;0;1;0
M;Hispanic;Greater than 45;Male;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;Greater than 45;Male;0;1;0;0;1;0
M;Hispanic;Greater than 45;Male;1;0;0;0;1;0
F;African-American;Greater than 45;Female;1;0;0;0;1;0
M;Caucasian;Less than 25;Male;0;0;1;0;0;1
F;Hispanic;25 - 45;Male;1;0;0;0;0;1
F;African-American;Greater than 45;Female;0;0;0;1;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;1;0
M;African-American;Greater than 45;Male;0;0;1;0;1;0
F;Caucasian;25 - 45;Male;0;1;0;0;1;0
M;Caucasian;Greater than 45;Male;0;0;0;1;0;1
F;Other;25 - 45;Male;0;1;0;0;1;0
F;Caucasian;Greater than 45;Male;0;0;1;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Female;1;0;0;0;1;0
M;African-American;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;1;0;0;0;1;0
M;African-American;25 - 45;Male;0;0;1;0;1;0
M;Hispanic;Less than 25;Male;1;0;0;0;0;1
F;African-American;25 - 45;Female;1;0;0;0;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Female;1;0;0;0;1;0
F;Other;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;Greater than 45;Male;0;0;1;0;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;Caucasian;Greater than 45;Female;0;0;0;1;0;1
F;Caucasian;Greater than 45;Male;0;1;0;0;0;1
F;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;1;0
F;Hispanic;25 - 45;Male;1;0;0;0;0;1
M;Caucasian;Greater than 45;Male;0;0;1;0;1;0
M;Caucasian;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;0;1
M;Hispanic;Greater than 45;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;Greater than 45;Male;0;1;0;0;0;1
F;Caucasian;Greater than 45;Male;0;0;1;0;1;0
M;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;African-American;Less than 25;Male;0;1;0;0;1;0
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;Hispanic;Greater than 45;Female;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;25 - 45;Male;0;0;1;0;0;1
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;Less than 25;Female;1;0;0;0;0;1
F;Caucasian;Greater than 45;Male;0;0;0;1;1;0
F;African-American;Greater than 45;Male;0;0;0;1;1;0
F;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;Caucasian;Less than 25;Female;0;0;1;0;0;1
F;African-American;Less than 25;Female;0;0;1;0;0;1
M;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;Other;25 - 45;Male;0;1;0;0;0;1
M;Caucasian;Less than 25;Female;1;0;0;0;0;1
F;Caucasian;25 - 45;Female;0;1;0;0;1;0
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Female;0;1;0;0;1;0
F;African-American;Greater than 45;Male;0;0;0;1;0;1
M;Caucasian;Greater than 45;Female;0;0;0;1;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Female;0;0;0;1;0;1
M;Caucasian;Greater than 45;Female;1;0;0;0;1;0
F;Caucasian;Greater than 45;Female;1;0;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Female;1;0;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;1;0;0;0;0;1
F;African-American;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;Less than 25;Male;0;1;0;0;1;0
F;African-American;25 - 45;Female;0;0;1;0;0;1
M;Caucasian;25 - 45;Male;0;0;1;0;0;1
F;Hispanic;Less than 25;Male;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;Native American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Male;0;0;1;0;1;0
F;Hispanic;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Female;0;0;1;0;0;1
M;African-American;Greater than 45;Male;0;0;0;1;0;1
M;African-American;Less than 25;Female;1;0;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;0;1
M;Other;25 - 45;Male;0;1;0;0;0;1
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
M;Native American;25 - 45;Male;1;0;0;0;1;0
F;Other;Less than 25;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Male;0;0;1;0;1;0
M;Caucasian;25 - 45;Female;0;0;1;0;0;1
F;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;25 - 45;Female;1;0;0;0;0;1
M;African-American;Less than 25;Male;1;0;0;0;0;1
F;Asian;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;0;1
M;Caucasian;25 - 45;Female;0;1;0;0;0;1
F;African-American;25 - 45;Female;0;1;0;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
M;African-American;25 - 45;Female;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
M;African-American;Less than 25;Male;1;0;0;0;0;1
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Male;1;0;0;0;0;1
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;0;1;0;0;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;Other;Less than 25;Male;0;0;0;1;0;1
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;Other;25 - 45;Male;0;1;0;0;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;Less than 25;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;Other;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Male;0;0;1;0;0;1
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;Greater than 45;Male;0;0;1;0;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
M;Other;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Female;0;0;0;1;1;0
F;Hispanic;Less than 25;Male;0;0;0;1;0;1
M;Caucasian;Greater than 45;Female;0;1;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Female;0;1;0;0;0;1
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;0;0;0;1;1;0
F;Hispanic;Greater than 45;Male;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
M;African-American;Less than 25;Male;1;0;0;0;0;1
F;Hispanic;Greater than 45;Male;0;1;0;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;0;0;1;0;1
F;Hispanic;Less than 25;Male;1;0;0;0;0;1
F;African-American;25 - 45;Female;0;1;0;0;1;0
F;Other;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;1;0;0;1
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;1;0
F;Asian;25 - 45;Male;0;0;1;0;1;0
M;Asian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;0;0;0;1;1;0
M;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;Caucasian;Greater than 45;Male;0;0;0;1;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;1;0;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Hispanic;25 - 45;Male;0;0;0;1;0;1
M;Other;Greater than 45;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Female;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Male;0;0;1;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
F;Other;25 - 45;Male;0;0;0;1;0;1
F;Hispanic;25 - 45;Male;0;0;1;0;0;1
F;African-American;Greater than 45;Female;0;0;0;1;1;0
M;Other;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Less than 25;Female;0;1;0;0;0;1
F;Caucasian;25 - 45;Male;0;0;1;0;1;0
M;African-American;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;Hispanic;25 - 45;Male;1;0;0;0;1;0
F;African-American;Greater than 45;Male;0;1;0;0;0;1
F;Hispanic;Less than 25;Male;0;1;0;0;0;1
M;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;0;1;0;0;1
M;Other;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;Less than 25;Female;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;0;1;0;1;0
M;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;African-American;Less than 25;Female;1;0;0;0;0;1
M;Caucasian;25 - 45;Female;1;0;0;0;1;0
M;African-American;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Female;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;1;0;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;Hispanic;Greater than 45;Male;0;1;0;0;1;0
F;Hispanic;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;0;1
F;African-American;Less than 25;Male;0;0;1;0;0;1
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Female;0;0;0;1;0;1
M;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;0;1
M;African-American;Less than 25;Male;0;1;0;0;0;1
F;Caucasian;Greater than 45;Female;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Female;0;0;1;0;1;0
F;African-American;Less than 25;Male;0;0;1;0;0;1
F;Other;Less than 25;Male;1;0;0;0;0;1
M;Caucasian;Greater than 45;Male;0;0;1;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;0;1
M;African-American;25 - 45;Female;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;African-American;Greater than 45;Male;1;0;0;0;1;0
M;Hispanic;25 - 45;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
M;Caucasian;25 - 45;Male;0;1;0;0;0;1
M;African-American;Greater than 45;Male;0;0;0;1;1;0
F;Other;25 - 45;Male;0;1;0;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;25 - 45;Male;0;1;0;0;1;0
M;African-American;Less than 25;Male;1;0;0;0;0;1
M;African-American;25 - 45;Female;0;0;1;0;0;1
M;African-American;Greater than 45;Male;0;0;0;1;1;0
F;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;Greater than 45;Female;0;0;1;0;1;0
M;African-American;Less than 25;Female;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;Less than 25;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;1;0;1;0
F;Caucasian;25 - 45;Male;0;0;1;0;0;1
M;African-American;25 - 45;Female;0;1;0;0;1;0
M;Caucasian;Greater than 45;Male;0;0;1;0;1;0
M;African-American;Greater than 45;Male;0;0;1;0;1;0
F;Other;Greater than 45;Male;0;0;1;0;1;0
F;Caucasian;Less than 25;Female;0;1;0;0;0;1
M;African-American;Less than 25;Male;0;0;0;1;0;1
F;Hispanic;Greater than 45;Male;0;0;1;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;0;0;1;0;1
M;Caucasian;25 - 45;Female;0;0;0;1;0;1
F;Caucasian;Greater than 45;Female;0;1;0;0;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Female;0;1;0;0;0;1
M;Other;25 - 45;Male;0;1;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;0;1
F;Caucasian;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Female;0;1;0;0;1;0
F;Native American;25 - 45;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Female;0;0;0;1;0;1
M;Caucasian;Greater than 45;Male;0;0;0;1;0;1
M;Other;25 - 45;Male;0;0;0;1;1;0
M;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;0;1;0;0;1
M;African-American;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;25 - 45;Male;0;0;1;0;0;1
M;Caucasian;Less than 25;Female;0;0;1;0;0;1
M;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;Less than 25;Male;0;0;0;1;0;1
M;Caucasian;25 - 45;Female;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;0;1;0;0;1;0
M;Caucasian;Greater than 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;1;0
F;Other;25 - 45;Male;0;0;1;0;1;0
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Asian;Less than 25;Male;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;Hispanic;25 - 45;Male;0;1;0;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;0;0;1;0;1
F;Caucasian;Greater than 45;Male;0;0;1;0;1;0
F;African-American;Greater than 45;Male;0;0;1;0;0;1
M;African-American;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;1;0
F;Caucasian;Greater than 45;Male;0;1;0;0;0;1
M;Hispanic;25 - 45;Male;1;0;0;0;1;0
M;African-American;25 - 45;Female;1;0;0;0;0;1
M;Caucasian;25 - 45;Male;0;0;1;0;1;0
F;African-American;Greater than 45;Male;1;0;0;0;0;1
M;African-American;Less than 25;Male;1;0;0;0;0;1
F;Other;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;Other;25 - 45;Male;1;0;0;0;0;1
M;African-American;25 - 45;Male;0;0;1;0;1;0
F;African-American;Less than 25;Male;1;0;0;0;0;1
M;Caucasian;Greater than 45;Female;1;0;0;0;0;1
F;Caucasian;Greater than 45;Female;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;0;1;0;1;0
F;African-American;Less than 25;Female;1;0;0;0;0;1
F;African-American;Greater than 45;Female;0;1;0;0;1;0
M;Caucasian;Greater than 45;Female;0;1;0;0;1;0
M;Hispanic;25 - 45;Female;0;0;1;0;0;1
F;African-American;25 - 45;Female;0;0;0;1;0;1
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;Hispanic;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
F;Caucasian;25 - 45;Male;0;1;0;0;0;1
F;Caucasian;Less than 25;Female;1;0;0;0;0;1
F;African-American;25 - 45;Male;1;0;0;0;1;0
M;Asian;Greater than 45;Male;1;0;0;0;1;0
F;Other;25 - 45;Male;1;0;0;0;1;0
F;African-American;Less than 25;Male;0;0;0;1;0;1
F;Other;25 - 45;Male;0;0;1;0;0;1
M;African-American;Greater than 45;Male;0;0;1;0;0;1
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;Other;25 - 45;Male;0;1;0;0;1;0
F;Caucasian;25 - 45;Male;0;0;0;1;0;1
M;Other;25 - 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
F;Other;Greater than 45;Male;0;1;0;0;1;0
F;African-American;25 - 45;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;1;0;0;1;0
M;African-American;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
F;African-American;25 - 45;Female;0;0;1;0;1;0
M;Caucasian;25 - 45;Female;0;0;0;1;0;1
F;African-American;25 - 45;Male;0;1;0;0;0;1
F;Hispanic;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;Other;Greater than 45;Male;0;0;1;0;1;0
M;Caucasian;Greater than 45;Male;0;0;1;0;1;0
F;African-American;Less than 25;Male;1;0;0;0;1;0
F;Hispanic;Greater than 45;Male;1;0;0;0;1;0
M;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
M;Hispanic;25 - 45;Male;0;0;1;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;1;0;0;0;1
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Less than 25;Female;0;1;0;0;0;1
F;African-American;Greater than 45;Male;0;0;0;1;0;1
M;Other;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;25 - 45;Male;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;1;0;0;0;1;0
M;African-American;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;Less than 25;Male;1;0;0;0;0;1
M;African-American;Greater than 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Female;1;0;0;0;1;0
M;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Male;1;0;0;0;0;1
F;African-American;25 - 45;Male;0;1;0;0;0;1
M;African-American;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;Greater than 45;Female;0;0;0;1;1;0
F;African-American;Less than 25;Male;1;0;0;0;0;1
F;Caucasian;Less than 25;Male;1;0;0;0;0;1
M;Hispanic;25 - 45;Male;0;0;0;1;0;1
M;African-American;25 - 45;Male;0;0;1;0;0;1
M;Caucasian;25 - 45;Male;0;1;0;0;0;1
M;Caucasian;25 - 45;Male;1;0;0;0;1;0
F;Caucasian;Less than 25;Male;0;0;1;0;0;1
M;African-American;25 - 45;Female;1;0;0;0;1;0
F;Caucasian;Greater than 45;Male;0;1;0;0;1;0
F;Caucasian;25 - 45;Female;0;0;0;1;0;1
F;African-American;Less than 25;Male;0;0;1;0;0;1
F;Caucasian;25 - 45;Male;0;1;0;0;1;0
F;Hispanic;25 - 45;Male;0;0;1;0;0;1
F;Hispanic;25 - 45;Female;0;0;0;1;0;1
F;African-American;25 - 45;Female;0;0;1;0;0;1
F;African-American;Greater than 45;Male;0;1;0;0;1;0
M;Hispanic;Greater than 45;Female;1;0;0;0;1;0
F;African-American;Greater than 45;Male;0;0;0;1;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
M;Caucasian;Greater than 45;Female;1;0;0;0;1;0
F;African-American;25 - 45;Male;0;0;0;1;0;1
F;African-American;Greater than 45;Male;0;1;0;0;1;0
M;African-American;25 - 45;Female;0;1;0;0;1;0
F;Caucasian;Greater than 45;Male;1;0;0;0;1;0
